CONTENT,CLASS,content_lower,content_lower_rn,content_tokenized,content_filter,content_normalized,content_stopwords,content_stemm,content_clean
▬▬▬▬▬▬▬▬▬▬ஜ۩۞۩ஜ▬▬▬▬▬▬▬▬ ＤＡＭＮ ＴＨＩＳ ＣＯＭＭＥＮＴ ＩＳ ＦＡＮＣY ▬▬▬▬▬▬▬▬▬▬ஜ۩۞۩ஜ▬▬▬▬▬▬▬▬﻿,0,▬▬▬▬▬▬▬▬▬▬ஜ۩۞۩ஜ▬▬▬▬▬▬▬▬ ｄａｍｎ ｔｈｉｓ ｃｏｍｍｅｎｔ ｉｓ ｆａｎｃy ▬▬▬▬▬▬▬▬▬▬ஜ۩۞۩ஜ▬▬▬▬▬▬▬▬﻿,ஜ ஜ damn this comment is fancy ஜ ஜ,"['ஜ', 'ஜ', 'damn', 'this', 'comment', 'is', 'fancy', 'ஜ', 'ஜ']","['damn', 'this', 'comment', 'is', 'fancy']","['damn', 'this', 'comment', 'is', 'fancy']","['damn', 'comment', 'fancy']","['damn', 'comment', 'fanci']","['damn', 'comment', 'fanci']"
CHECK MY CHANNEL FOR MY NEW SONG 'STATIC'!! YOU'LL LOVE IT!!﻿,1,check my channel for my new song 'static'!! you'll love it!!﻿,check my channel for my new song static you'll love it,"['check', 'my', 'channel', 'for', 'my', 'new', 'song', 'static', 'you', ""'ll"", 'love', 'it']","['check', 'my', 'channel', 'for', 'my', 'new', 'song', 'static', 'you', ""'ll"", 'love', 'it']","['check', 'my', 'channel', 'for', 'my', 'new', 'song', 'static', 'you', 'will', 'love', 'it']","['check', 'channel', 'new', 'song', 'static', 'love']","['check', 'channel', 'new', 'song', 'static', 'love']","['check', 'channel', 'new', 'song', 'static', 'love']"
Incmedia.org where the truth meets you.﻿,1,incmedia.org where the truth meets you.﻿,url where the truth meets you,"['url', 'where', 'the', 'truth', 'meets', 'you']","['url', 'where', 'the', 'truth', 'meets', 'you']","['url', 'where', 'the', 'truth', 'meets', 'you']","['url', 'truth', 'meets']","['url', 'truth', 'meet']","['url', 'truth', 'meet']"
look at my channel i make minecraft pe lets play ﻿,1,look at my channel i make minecraft pe lets play ﻿,look at my channel i make minecraft pe lets play,"['look', 'at', 'my', 'channel', 'i', 'make', 'minecraft', 'pe', 'lets', 'play']","['look', 'at', 'my', 'channel', 'i', 'make', 'minecraft', 'lets', 'play']","['look', 'at', 'my', 'channel', 'i', 'make', 'minecraft', 'lets', 'play']","['look', 'channel', 'make', 'minecraft', 'lets', 'play']","['look', 'channel', 'make', 'minecraft', 'let', 'play']","['look', 'channel', 'make', 'minecraft', 'let', 'play']"
I found out this song now﻿,0,i found out this song now﻿,i found out this song now,"['i', 'found', 'out', 'this', 'song', 'now']","['i', 'found', 'out', 'this', 'song', 'now']","['i', 'found', 'out', 'this', 'song', 'now']","['found', 'song']","['found', 'song']","['found', 'song']"
2 BILLION!!!﻿,0,2 billion!!!﻿,numeric billion,"['numeric', 'billion']","['numeric', 'billion']","['numeric', 'billion']","['numeric', 'billion']","['numer', 'billion']","['numer', 'billion']"
Song name??﻿,0,song name??﻿,song name,"['song', 'name']","['song', 'name']","['song', 'name']","['song', 'name']","['song', 'name']","['song', 'name']"
please like : http://www.bubblews.com/news/9277547-peace-and-brotherhood﻿,1,please like : http://www.bubblews.com/news/9277547-peace-and-brotherhood﻿,please like url,"['please', 'like', 'url']","['please', 'like', 'url']","['please', 'like', 'url']","['please', 'like', 'url']","['pleas', 'like', 'url']","['pleas', 'like', 'url']"
hey again if you guys wouldnt mind chacking out my rap give it like and il  giver 3 of your vids a like﻿,1,hey again if you guys wouldnt mind chacking out my rap give it like and il  giver 3 of your vids a like﻿,hey again if you guys wouldnt mind chacking out my rap give it like and il giver numeric of your vids a like,"['hey', 'again', 'if', 'you', 'guys', 'wouldnt', 'mind', 'chacking', 'out', 'my', 'rap', 'give', 'it', 'like', 'and', 'il', 'giver', 'numeric', 'of', 'your', 'vids', 'a', 'like']","['hey', 'again', 'if', 'you', 'guys', 'wouldnt', 'mind', 'chacking', 'out', 'my', 'rap', 'give', 'it', 'like', 'and', 'giver', 'numeric', 'of', 'your', 'vids', 'a', 'like']","['hello', 'again', 'if', 'you', 'guys', 'would not', 'mind', 'chacking', 'out', 'my', 'rap', 'give', 'it', 'like', 'and', 'giver', 'numeric', 'of', 'your', 'vids', 'a', 'like']","['hello', 'guys', 'would not', 'mind', 'chacking', 'rap', 'give', 'like', 'giver', 'numeric', 'vids', 'like']","['hello', 'guy', 'would not', 'mind', 'chack', 'rap', 'give', 'like', 'giver', 'numer', 'vid', 'like']","['hello', 'guy', 'would not', 'mind', 'chack', 'rap', 'give', 'like', 'giver', 'numer', 'vid', 'like']"
http://www.amazon.co.uk/gp/offer-listing/B00ECVF93G/sr=8-2/qid=1415297812/ref=olp_tab_refurbished?ie=UTF8&amp;condition=refurbished&amp;qid=1415297812&amp;sr=8-2 ﻿,1,http://www.amazon.co.uk/gp/offer-listing/b00ecvf93g/sr=8-2/qid=1415297812/ref=olp_tab_refurbished?ie=utf8&amp;condition=refurbished&amp;qid=1415297812&amp;sr=8-2 ﻿,url,['url'],['url'],['url'],['url'],['url'],['url']
"The most watched video on YouTube is Psy’s “Gangnam Style”, with 2.1  billion views. PSY - GANGNAM STYLE (강남스타일) M/V﻿",0,"the most watched video on youtube is psy’s “gangnam style”, with 2.1  billion views. psy - gangnam style (강남스타일) m/v﻿",the most watched video on youtube is psy s gangnam style with numeric billion views psy gangnam style 강남스타일 m v,"['the', 'most', 'watched', 'video', 'on', 'youtube', 'is', 'psy', 's', 'gangnam', 'style', 'with', 'numeric', 'billion', 'views', 'psy', 'gangnam', 'style', '강남스타일', 'm', 'v']","['the', 'most', 'watched', 'video', 'on', 'youtube', 'is', 'psy', 'gangnam', 'style', 'with', 'numeric', 'billion', 'views', 'psy', 'gangnam', 'style', '강남스타일']","['the', 'most', 'watched', 'video', 'on', 'youtube', 'is', 'psy', 'gangnam', 'style', 'with', 'numeric', 'billion', 'views', 'psy', 'gangnam', 'style']","['watched', 'video', 'youtube', 'psy', 'gangnam', 'style', 'numeric', 'billion', 'views', 'psy', 'gangnam', 'style']","['watch', 'video', 'youtub', 'psi', 'gangnam', 'style', 'numer', 'billion', 'view', 'psi', 'gangnam', 'style']","['watch', 'video', 'youtub', 'psi', 'gangnam', 'style', 'numer', 'billion', 'view', 'psi', 'gangnam', 'style']"
Subscribe to me and I'll subscribe back!!!﻿,1,subscribe to me and i'll subscribe back!!!﻿,subscribe to me and i'll subscribe back,"['subscribe', 'to', 'me', 'and', 'i', ""'ll"", 'subscribe', 'back']","['subscribe', 'to', 'me', 'and', 'i', ""'ll"", 'subscribe', 'back']","['subscribe', 'to', 'me', 'and', 'i', 'will', 'subscribe', 'back']","['subscribe', 'subscribe', 'back']","['subscrib', 'subscrib', 'back']","['subscrib', 'subscrib', 'back']"
http://flipagram.com/f/LUkA1QMrhF﻿,1,http://flipagram.com/f/luka1qmrhf﻿,url,['url'],['url'],['url'],['url'],['url'],['url']
For Christmas Song visit my channel! ;)﻿,1,for christmas song visit my channel! ;)﻿,for christmas song visit my channel ;),"['for', 'christmas', 'song', 'visit', 'my', 'channel', ';', ')']","['for', 'christmas', 'song', 'visit', 'my', 'channel']","['for', 'christmas', 'song', 'visit', 'my', 'channel']","['christmas', 'song', 'visit', 'channel']","['christma', 'song', 'visit', 'channel']","['christma', 'song', 'visit', 'channel']"
http://www.gofundme.com/gvr7xg﻿,1,http://www.gofundme.com/gvr7xg﻿,url,['url'],['url'],['url'],['url'],['url'],['url']
Subscribe to me i subscribe back!!!! Plus i have a nice ass lol﻿,1,subscribe to me i subscribe back!!!! plus i have a nice ass lol﻿,subscribe to me i subscribe back plus i have a nice ass lol,"['subscribe', 'to', 'me', 'i', 'subscribe', 'back', 'plus', 'i', 'have', 'a', 'nice', 'ass', 'lol']","['subscribe', 'to', 'me', 'i', 'subscribe', 'back', 'plus', 'i', 'have', 'a', 'nice', 'ass', 'lol']","['subscribe', 'to', 'me', 'i', 'subscribe', 'back', 'plus', 'i', 'have', 'a', 'nice', 'ass', 'laugh']","['subscribe', 'subscribe', 'back', 'plus', 'nice', 'ass', 'laugh']","['subscrib', 'subscrib', 'back', 'plus', 'nice', 'ass', 'laugh']","['subscrib', 'subscrib', 'back', 'plus', 'nice', 'ass', 'laugh']"
https://www.change.org/p/facebook-twitter-youtube-do-not-censor-julien-blanc ﻿,1,https://www.change.org/p/facebook-twitter-youtube-do-not-censor-julien-blanc ﻿,url,['url'],['url'],['url'],['url'],['url'],['url']
https://soundcloud.com/jackal-and-james/wrap-up-the-night﻿,1,https://soundcloud.com/jackal-and-james/wrap-up-the-night﻿,url,['url'],['url'],['url'],['url'],['url'],['url']
https://www.surveymonkey.com/s/CVHMKLT﻿,1,https://www.surveymonkey.com/s/cvhmklt﻿,url,['url'],['url'],['url'],['url'],['url'],['url']
Please give us a chance and check out the new music video on our channel!  You won't be disappointed.﻿,1,please give us a chance and check out the new music video on our channel!  you won't be disappointed.﻿,please give us a chance and check out the new music video on our channel you won't be disappointed,"['please', 'give', 'us', 'a', 'chance', 'and', 'check', 'out', 'the', 'new', 'music', 'video', 'on', 'our', 'channel', 'you', 'wo', ""n't"", 'be', 'disappointed']","['please', 'give', 'us', 'a', 'chance', 'and', 'check', 'out', 'the', 'new', 'music', 'video', 'on', 'our', 'channel', 'you', ""n't"", 'be', 'disappointed']","['please', 'give', 'us', 'a', 'chance', 'and', 'check', 'out', 'the', 'new', 'music', 'video', 'on', 'our', 'channel', 'you', 'not', 'be', 'disappointed']","['please', 'give', 'us', 'chance', 'check', 'new', 'music', 'video', 'channel', 'disappointed']","['pleas', 'give', 'us', 'chanc', 'check', 'new', 'music', 'video', 'channel', 'disappoint']","['pleas', 'give', 'us', 'chanc', 'check', 'new', 'music', 'video', 'channel', 'disappoint']"
Please subscribe to me﻿,1,please subscribe to me﻿,please subscribe to me,"['please', 'subscribe', 'to', 'me']","['please', 'subscribe', 'to', 'me']","['please', 'subscribe', 'to', 'me']","['please', 'subscribe']","['pleas', 'subscrib']","['pleas', 'subscrib']"
"This is the best, funny and viral video of history (youtube) THE TRUE﻿",0,"this is the best, funny and viral video of history (youtube) the true﻿",this is the best funny and viral video of history youtube the true,"['this', 'is', 'the', 'best', 'funny', 'and', 'viral', 'video', 'of', 'history', 'youtube', 'the', 'true']","['this', 'is', 'the', 'best', 'funny', 'and', 'viral', 'video', 'of', 'history', 'youtube', 'the', 'true']","['this', 'is', 'the', 'best', 'funny', 'and', 'viral', 'video', 'of', 'history', 'youtube', 'the', 'true']","['best', 'funny', 'viral', 'video', 'history', 'youtube', 'true']","['best', 'funni', 'viral', 'video', 'histori', 'youtub', 'true']","['best', 'funni', 'viral', 'video', 'histori', 'youtub', 'true']"
Please check out my vidios﻿,1,please check out my vidios﻿,please check out my vidios,"['please', 'check', 'out', 'my', 'vidios']","['please', 'check', 'out', 'my', 'vidios']","['please', 'check', 'out', 'my', 'video']","['please', 'check', 'video']","['pleas', 'check', 'video']","['pleas', 'check', 'video']"
OPPA GANGNAM STYLE!!!﻿,0,oppa gangnam style!!!﻿,oppa gangnam style,"['oppa', 'gangnam', 'style']","['oppa', 'gangnam', 'style']","['oppa', 'gangnam', 'style']","['oppa', 'gangnam', 'style']","['oppa', 'gangnam', 'style']","['oppa', 'gangnam', 'style']"
"The funny thing is, 1,700,000,000 of the views are spam bots. I mean c'mon  2 BILLION views? BS!﻿",0,"the funny thing is, 1,700,000,000 of the views are spam bots. i mean c'mon  2 billion views? bs!﻿",the funny thing is numeric of the views are spam bots i mean c'mon numeric billion views bs,"['the', 'funny', 'thing', 'is', 'numeric', 'of', 'the', 'views', 'are', 'spam', 'bots', 'i', 'mean', ""c'mon"", 'numeric', 'billion', 'views', 'bs']","['the', 'funny', 'thing', 'is', 'numeric', 'of', 'the', 'views', 'are', 'spam', 'bots', 'i', 'mean', ""c'mon"", 'numeric', 'billion', 'views']","['the', 'funny', 'thing', 'is', 'numeric', 'of', 'the', 'views', 'are', 'spam', 'bots', 'i', 'mean', ""c'mon"", 'numeric', 'billion', 'views']","['funny', 'thing', 'numeric', 'views', 'spam', 'bots', 'mean', ""c'mon"", 'numeric', 'billion', 'views']","['funni', 'thing', 'numer', 'view', 'spam', 'bot', 'mean', ""c'mon"", 'numer', 'billion', 'view']","['funni', 'thing', 'numer', 'view', 'spam', 'bot', 'mean', ""c'mon"", 'numer', 'billion', 'view']"
OPPA &lt;3﻿,0,oppa &lt;3﻿,oppa numeric,"['oppa', 'numeric']","['oppa', 'numeric']","['oppa', 'numeric']","['oppa', 'numeric']","['oppa', 'numer']","['oppa', 'numer']"
It's so funny it's awesomeness lol aaaaaaa sexy lada😂﻿,0,it's so funny it's awesomeness lol aaaaaaa sexy lada😂﻿,it's so funny it's awesomeness lol aa sexy lada face_with_tears_of_joy,"['it', ""'s"", 'so', 'funny', 'it', ""'s"", 'awesomeness', 'lol', 'aa', 'sexy', 'lada', 'face_with_tears_of_joy']","['it', 'so', 'funny', 'it', 'awesomeness', 'lol', 'sexy', 'lada', 'face_with_tears_of_joy']","['it', 'so', 'funny', 'it', 'awesome', 'laugh', 'sexy', 'lada', 'happy_emoji']","['funny', 'awesome', 'laugh', 'sexy', 'lada', 'happy_emoji']","['funni', 'awesom', 'laugh', 'sexi', 'lada', 'happy_emoji']","['funni', 'awesom', 'laugh', 'sexi', 'lada', 'happy_emoji']"
most viewed video in the world﻿,0,most viewed video in the world﻿,most viewed video in the world,"['most', 'viewed', 'video', 'in', 'the', 'world']","['most', 'viewed', 'video', 'in', 'the', 'world']","['most', 'viewed', 'video', 'in', 'the', 'world']","['viewed', 'video', 'world']","['view', 'video', 'world']","['view', 'video', 'world']"
I'm here to check the views.. holy shit﻿,0,i'm here to check the views.. holy shit﻿,i'm here to check the views holy shit,"['i', ""'m"", 'here', 'to', 'check', 'the', 'views', 'holy', 'shit']","['i', 'here', 'to', 'check', 'the', 'views', 'holy', 'shit']","['i', 'here', 'to', 'check', 'the', 'views', 'holy', 'shit']","['check', 'views', 'holy', 'shit']","['check', 'view', 'holi', 'shit']","['check', 'view', 'holi', 'shit']"
"Dear person reading this, You are beautiful and loving Have a great day﻿",0,"dear person reading this, you are beautiful and loving have a great day﻿",dear person reading this you are beautiful and loving have a great day,"['dear', 'person', 'reading', 'this', 'you', 'are', 'beautiful', 'and', 'loving', 'have', 'a', 'great', 'day']","['dear', 'person', 'reading', 'this', 'you', 'are', 'beautiful', 'and', 'loving', 'have', 'a', 'great', 'day']","['dear', 'person', 'reading', 'this', 'you', 'are', 'beautiful', 'and', 'loving', 'have', 'a', 'great', 'day']","['dear', 'person', 'reading', 'beautiful', 'loving', 'great', 'day']","['dear', 'person', 'read', 'beauti', 'love', 'great', 'day']","['dear', 'person', 'read', 'beauti', 'love', 'great', 'day']"
http://www.ermail.pl/dolacz/V3VeYGIN CLICK  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN﻿,1,http://www.ermail.pl/dolacz/v3veygin click  http://www.ermail.pl/dolacz/v3veygin  http://www.ermail.pl/dolacz/v3veygin  http://www.ermail.pl/dolacz/v3veygin  http://www.ermail.pl/dolacz/v3veygin  http://www.ermail.pl/dolacz/v3veygin  http://www.ermail.pl/dolacz/v3veygin﻿,url click url,"['url', 'click', 'url']","['url', 'click', 'url']","['url', 'click', 'url']","['url', 'click', 'url']","['url', 'click', 'url']","['url', 'click', 'url']"
Have you tried a new social network TSU? This new social network has a  special thing.You can share the posts as well as on fb and twitter and even  to'll get paid You can registr here:  https://www.tsu.co/WORLDWIDE_LIFE﻿,1,have you tried a new social network tsu? this new social network has a  special thing.you can share the posts as well as on fb and twitter and even  to'll get paid you can registr here:  https://www.tsu.co/worldwide_life﻿,have you tried a new social network tsu this new social network has a special thing you can share the posts as well as on fb and twitter and even to'll get paid you can registr here url,"['have', 'you', 'tried', 'a', 'new', 'social', 'network', 'tsu', 'this', 'new', 'social', 'network', 'has', 'a', 'special', 'thing', 'you', 'can', 'share', 'the', 'posts', 'as', 'well', 'as', 'on', 'fb', 'and', 'twitter', 'and', 'even', 'to', ""'ll"", 'get', 'paid', 'you', 'can', 'registr', 'here', 'url']","['have', 'you', 'tried', 'a', 'new', 'social', 'network', 'tsu', 'this', 'new', 'social', 'network', 'has', 'a', 'special', 'thing', 'you', 'can', 'share', 'the', 'posts', 'as', 'well', 'as', 'on', 'and', 'twitter', 'and', 'even', 'to', ""'ll"", 'get', 'paid', 'you', 'can', 'registr', 'here', 'url']","['have', 'you', 'tried', 'a', 'new', 'social', 'network', 'tsu', 'this', 'new', 'social', 'network', 'has', 'a', 'special', 'thing', 'you', 'can', 'share', 'the', 'posts', 'as', 'well', 'as', 'on', 'and', 'twitter', 'and', 'even', 'to', 'will', 'get', 'paid', 'you', 'can', 'registr', 'here', 'url']","['tried', 'new', 'social', 'network', 'tsu', 'new', 'social', 'network', 'special', 'thing', 'share', 'posts', 'well', 'twitter', 'even', 'get', 'paid', 'registr', 'url']","['tri', 'new', 'social', 'network', 'tsu', 'new', 'social', 'network', 'special', 'thing', 'share', 'post', 'well', 'twitter', 'even', 'get', 'paid', 'registr', 'url']","['tri', 'new', 'social', 'network', 'tsu', 'new', 'social', 'network', 'special', 'thing', 'share', 'post', 'well', 'twitter', 'even', 'get', 'paid', 'registr', 'url']"
The Guy in the yellow suit kinda looks like Jae-suk ﻿,0,the guy in the yellow suit kinda looks like jae-suk ﻿,the guy in the yellow suit kinda looks like jae suk,"['the', 'guy', 'in', 'the', 'yellow', 'suit', 'kinda', 'looks', 'like', 'jae', 'suk']","['the', 'guy', 'in', 'the', 'yellow', 'suit', 'kinda', 'looks', 'like', 'jae', 'suk']","['the', 'guy', 'in', 'the', 'yellow', 'suit', 'kinda', 'looks', 'like', 'jae', 'suk']","['guy', 'yellow', 'suit', 'kinda', 'looks', 'like', 'jae', 'suk']","['guy', 'yellow', 'suit', 'kinda', 'look', 'like', 'jae', 'suk']","['guy', 'yellow', 'suit', 'kinda', 'look', 'like', 'jae', 'suk']"
"People, here is a new network like FB...you register also free, the  difference is only that you get paid for sharing, commenting and liking  posts and so one...don't waste your time on fb for sharing and not being  paid!! Register here to make also money with your everyday posts!!  https://www.tsu.co/slema13 Wellcome to everyone! ;)﻿",1,"people, here is a new network like fb...you register also free, the  difference is only that you get paid for sharing, commenting and liking  posts and so one...don't waste your time on fb for sharing and not being  paid!! register here to make also money with your everyday posts!!  https://www.tsu.co/slema13 wellcome to everyone! ;)﻿",people here is a new network like fb you register also free the difference is only that you get paid for sharing commenting and liking posts and so one don't waste your time on fb for sharing and not being paid register here to make also money with your everyday posts url wellcome to everyone ;),"['people', 'here', 'is', 'a', 'new', 'network', 'like', 'fb', 'you', 'register', 'also', 'free', 'the', 'difference', 'is', 'only', 'that', 'you', 'get', 'paid', 'for', 'sharing', 'commenting', 'and', 'liking', 'posts', 'and', 'so', 'one', 'do', ""n't"", 'waste', 'your', 'time', 'on', 'fb', 'for', 'sharing', 'and', 'not', 'being', 'paid', 'register', 'here', 'to', 'make', 'also', 'money', 'with', 'your', 'everyday', 'posts', 'url', 'wellcome', 'to', 'everyone', ';', ')']","['people', 'here', 'is', 'a', 'new', 'network', 'like', 'you', 'register', 'also', 'free', 'the', 'difference', 'is', 'only', 'that', 'you', 'get', 'paid', 'for', 'sharing', 'commenting', 'and', 'liking', 'posts', 'and', 'so', 'one', 'do', ""n't"", 'waste', 'your', 'time', 'on', 'for', 'sharing', 'and', 'not', 'being', 'paid', 'register', 'here', 'to', 'make', 'also', 'money', 'with', 'your', 'everyday', 'posts', 'url', 'wellcome', 'to', 'everyone']","['people', 'here', 'is', 'a', 'new', 'network', 'like', 'you', 'register', 'also', 'free', 'the', 'difference', 'is', 'only', 'that', 'you', 'get', 'paid', 'for', 'sharing', 'commenting', 'and', 'liking', 'posts', 'and', 'so', 'one', 'do', 'not', 'waste', 'your', 'time', 'on', 'for', 'sharing', 'and', 'not', 'being', 'paid', 'register', 'here', 'to', 'make', 'also', 'money', 'with', 'your', 'everyday', 'posts', 'url', 'welcome', 'to', 'everyone']","['people', 'new', 'network', 'like', 'register', 'also', 'free', 'difference', 'get', 'paid', 'sharing', 'commenting', 'liking', 'posts', 'one', 'waste', 'time', 'sharing', 'paid', 'register', 'make', 'also', 'money', 'everyday', 'posts', 'url', 'welcome', 'everyone']","['peopl', 'new', 'network', 'like', 'regist', 'also', 'free', 'differ', 'get', 'paid', 'share', 'comment', 'like', 'post', 'one', 'wast', 'time', 'share', 'paid', 'regist', 'make', 'also', 'money', 'everyday', 'post', 'url', 'welcom', 'everyon']","['peopl', 'new', 'network', 'like', 'regist', 'also', 'free', 'differ', 'get', 'paid', 'share', 'comment', 'like', 'post', 'one', 'wast', 'time', 'share', 'paid', 'regist', 'make', 'also', 'money', 'everyday', 'post', 'url', 'welcom', 'everyon']"
How are there 2 billion views and theres only 2 million people in the  world!?!?!?!! MULTIPLE ACCOUNTS!!!1111﻿,0,how are there 2 billion views and theres only 2 million people in the  world!?!?!?!! multiple accounts!!!1111﻿,how are there numeric billion views and theres only numeric million people in the world multiple accounts numeric,"['how', 'are', 'there', 'numeric', 'billion', 'views', 'and', 'theres', 'only', 'numeric', 'million', 'people', 'in', 'the', 'world', 'multiple', 'accounts', 'numeric']","['how', 'are', 'there', 'numeric', 'billion', 'views', 'and', 'theres', 'only', 'numeric', 'million', 'people', 'in', 'the', 'world', 'multiple', 'accounts', 'numeric']","['how', 'are', 'there', 'numeric', 'billion', 'views', 'and', 'there is', 'only', 'numeric', 'million', 'people', 'in', 'the', 'world', 'multiple', 'accounts', 'numeric']","['numeric', 'billion', 'views', 'there is', 'numeric', 'million', 'people', 'world', 'multiple', 'accounts', 'numeric']","['numer', 'billion', 'view', 'there i', 'numer', 'million', 'peopl', 'world', 'multipl', 'account', 'numer']","['numer', 'billion', 'view', 'there i', 'numer', 'million', 'peopl', 'world', 'multipl', 'account', 'numer']"
WAT DA FUCK THIS THE MOST VIEWED VIDEO IN YOUTUBE!﻿,0,wat da fuck this the most viewed video in youtube!﻿,wat da fuck this the most viewed video in youtube,"['wat', 'da', 'fuck', 'this', 'the', 'most', 'viewed', 'video', 'in', 'youtube']","['wat', 'fuck', 'this', 'the', 'most', 'viewed', 'video', 'in', 'youtube']","['wat', 'fuck', 'this', 'the', 'most', 'viewed', 'video', 'in', 'youtube']","['wat', 'fuck', 'viewed', 'video', 'youtube']","['wat', 'fuck', 'view', 'video', 'youtub']","['wat', 'fuck', 'view', 'video', 'youtub']"
OMG 2/7 People watched this video because there are 7 billion people in the  world and 2 billion watched this﻿,0,omg 2/7 people watched this video because there are 7 billion people in the  world and 2 billion watched this﻿,omg numeric people watched this video because there are numeric billion people in the world and numeric billion watched this,"['omg', 'numeric', 'people', 'watched', 'this', 'video', 'because', 'there', 'are', 'numeric', 'billion', 'people', 'in', 'the', 'world', 'and', 'numeric', 'billion', 'watched', 'this']","['omg', 'numeric', 'people', 'watched', 'this', 'video', 'because', 'there', 'are', 'numeric', 'billion', 'people', 'in', 'the', 'world', 'and', 'numeric', 'billion', 'watched', 'this']","['omg', 'numeric', 'people', 'watched', 'this', 'video', 'because', 'there', 'are', 'numeric', 'billion', 'people', 'in', 'the', 'world', 'and', 'numeric', 'billion', 'watched', 'this']","['omg', 'numeric', 'people', 'watched', 'video', 'numeric', 'billion', 'people', 'world', 'numeric', 'billion', 'watched']","['omg', 'numer', 'peopl', 'watch', 'video', 'numer', 'billion', 'peopl', 'world', 'numer', 'billion', 'watch']","['omg', 'numer', 'peopl', 'watch', 'video', 'numer', 'billion', 'peopl', 'world', 'numer', 'billion', 'watch']"
What is he saying?!?!?!?!?!?!?!?$? ﻿,0,what is he saying?!?!?!?!?!?!?!?$? ﻿,what is he saying,"['what', 'is', 'he', 'saying']","['what', 'is', 'he', 'saying']","['what', 'is', 'he', 'saying']",['saying'],['say'],['say']
this has so many views﻿,0,this has so many views﻿,this has so many views,"['this', 'has', 'so', 'many', 'views']","['this', 'has', 'so', 'many', 'views']","['this', 'has', 'so', 'many', 'views']","['many', 'views']","['mani', 'view']","['mani', 'view']"
OMG over 2 billion views!﻿,0,omg over 2 billion views!﻿,omg over numeric billion views,"['omg', 'over', 'numeric', 'billion', 'views']","['omg', 'over', 'numeric', 'billion', 'views']","['omg', 'over', 'numeric', 'billion', 'views']","['omg', 'numeric', 'billion', 'views']","['omg', 'numer', 'billion', 'view']","['omg', 'numer', 'billion', 'view']"
Subscribe to me plz plz plz plz plz plZ ﻿,1,subscribe to me plz plz plz plz plz plz ﻿,subscribe to me plz plz plz plz plz plz,"['subscribe', 'to', 'me', 'plz', 'plz', 'plz', 'plz', 'plz', 'plz']","['subscribe', 'to', 'me', 'plz', 'plz', 'plz', 'plz', 'plz', 'plz']","['subscribe', 'to', 'me', 'please', 'please', 'please', 'please', 'please', 'please']","['subscribe', 'please', 'please', 'please', 'please', 'please', 'please']","['subscrib', 'pleas', 'pleas', 'pleas', 'pleas', 'pleas', 'pleas']","['subscrib', 'pleas', 'pleas', 'pleas', 'pleas', 'pleas', 'pleas']"
http://www.twitch.tv/tareko100 Follow him on twitch and enter the keyword  !5800 and you'll have a chance of winning a really nice and expensive gun  for csgo that you can sell on the steam market﻿,1,http://www.twitch.tv/tareko100 follow him on twitch and enter the keyword  !5800 and you'll have a chance of winning a really nice and expensive gun  for csgo that you can sell on the steam market﻿,url follow him on twitch and enter the keyword numeric and you'll have a chance of winning a really nice and expensive gun for csgo that you can sell on the steam market,"['url', 'follow', 'him', 'on', 'twitch', 'and', 'enter', 'the', 'keyword', 'numeric', 'and', 'you', ""'ll"", 'have', 'a', 'chance', 'of', 'winning', 'a', 'really', 'nice', 'and', 'expensive', 'gun', 'for', 'csgo', 'that', 'you', 'can', 'sell', 'on', 'the', 'steam', 'market']","['url', 'follow', 'him', 'on', 'twitch', 'and', 'enter', 'the', 'keyword', 'numeric', 'and', 'you', ""'ll"", 'have', 'a', 'chance', 'of', 'winning', 'a', 'really', 'nice', 'and', 'expensive', 'gun', 'for', 'csgo', 'that', 'you', 'can', 'sell', 'on', 'the', 'steam', 'market']","['url', 'follow', 'him', 'on', 'twitch', 'and', 'enter', 'the', 'keyword', 'numeric', 'and', 'you', 'will', 'have', 'a', 'chance', 'of', 'winning', 'a', 'really', 'nice', 'and', 'expensive', 'gun', 'for', 'csgo', 'that', 'you', 'can', 'sell', 'on', 'the', 'steam', 'market']","['url', 'follow', 'twitch', 'enter', 'keyword', 'numeric', 'chance', 'winning', 'really', 'nice', 'expensive', 'gun', 'csgo', 'sell', 'steam', 'market']","['url', 'follow', 'twitch', 'enter', 'keyword', 'numer', 'chanc', 'win', 'realli', 'nice', 'expens', 'gun', 'csgo', 'sell', 'steam', 'market']","['url', 'follow', 'twitch', 'enter', 'keyword', 'numer', 'chanc', 'win', 'realli', 'nice', 'expens', 'gun', 'csgo', 'sell', 'steam', 'market']"
"i am 2,126,492,636 viewer :D﻿",0,"i am 2,126,492,636 viewer :d﻿",i am numeric viewer d,"['i', 'am', 'numeric', 'viewer', 'd']","['i', 'am', 'numeric', 'viewer']","['i', 'am', 'numeric', 'viewer']","['numeric', 'viewer']","['numer', 'viewer']","['numer', 'viewer']"
